EventID FileName TrueX Truey TotalPE EstimateX EstimateY EstimateLY
pos10_on 1_pos10_on 35.52630061 -10.33837343 57 -12.996849 36.999996 2519
pos11_on 1_pos10_on -31.39710017 19.57605939 57 -12.996849 36.999996 2519
pos12_on 1_pos10_on 28.73738133 -23.30585579 57 -12.996849 36.999996 2519
pos10_on 2_pos10_on 35.52630061 -10.33837343 138 0.006431 24.951170 16592
pos11_on 2_pos10_on -31.39710017 19.57605939 138 0.006431 24.951170 16592
pos12_on 2_pos10_on 28.73738133 -23.30585579 138 0.006431 24.951170 16592
pos10_on 3_pos10_on 35.52630061 -10.33837343 171 7.995423 25.999548 22810
pos11_on 3_pos10_on -31.39710017 19.57605939 171 7.995423 25.999548 22810
pos12_on 3_pos10_on 28.73738133 -23.30585579 171 7.995423 25.999548 22810
pos10_on 4_pos10_on 35.52630061 -10.33837343 265 8.998728 19.966558 34462
pos11_on 4_pos10_on -31.39710017 19.57605939 265 8.998728 19.966558 34462
pos12_on 4_pos10_on 28.73738133 -23.30585579 265 8.998728 19.966558 34462
pos10_on 5_pos10_on 35.52630061 -10.33837343 310 7.995669 22.991798 41035
pos11_on 5_pos10_on -31.39710017 19.57605939 310 7.995669 22.991798 41035
pos12_on 5_pos10_on 28.73738133 -23.30585579 310 7.995669 22.991798 41035
pos10_on 6_pos10_on 35.52630061 -10.33837343 385 8.998776 22.991730 49277
pos11_on 6_pos10_on -31.39710017 19.57605939 385 8.998776 22.991730 49277
pos12_on 6_pos10_on 28.73738133 -23.30585579 385 8.998776 22.991730 49277
pos10_on 7_pos10_on 35.52630061 -10.33837343 446 8.998885 22.991507 57078
pos11_on 7_pos10_on -31.39710017 19.57605939 446 8.998885 22.991507 57078
pos12_on 7_pos10_on 28.73738133 -23.30585579 446 8.998885 22.991507 57078
pos10_on 8_pos10_on 35.52630061 -10.33837343 521 8.998814 22.991665 65947
pos11_on 8_pos10_on -31.39710017 19.57605939 521 8.998814 22.991665 65947
pos12_on 8_pos10_on 28.73738133 -23.30585579 521 8.998814 22.991665 65947
pos10_on 9_pos10_on 35.52630061 -10.33837343 613 8.998820 22.991653 77007
pos11_on 9_pos10_on -31.39710017 19.57605939 613 8.998820 22.991653 77007
pos12_on 9_pos10_on 28.73738133 -23.30585579 613 8.998820 22.991653 77007
pos10_on 10_pos10_on 35.52630061 -10.33837343 703 8.999230 22.990839 87824
pos11_on 10_pos10_on -31.39710017 19.57605939 703 8.999230 22.990839 87824
pos12_on 10_pos10_on 28.73738133 -23.30585579 703 8.999230 22.990839 87824
pos10_on 11_pos10_on 35.52630061 -10.33837343 783 8.998826 22.991646 98447
pos11_on 11_pos10_on -31.39710017 19.57605939 783 8.998826 22.991646 98447
pos12_on 11_pos10_on 28.73738133 -23.30585579 783 8.998826 22.991646 98447
pos10_on 12_pos10_on 35.52630061 -10.33837343 867 8.998857 22.991537 108486
pos11_on 12_pos10_on -31.39710017 19.57605939 867 8.998857 22.991537 108486
pos12_on 12_pos10_on 28.73738133 -23.30585579 867 8.998857 22.991537 108486
pos10_on 13_pos10_on 35.52630061 -10.33837343 954 8.998787 22.991713 119681
pos11_on 13_pos10_on -31.39710017 19.57605939 954 8.998787 22.991713 119681
pos12_on 13_pos10_on 28.73738133 -23.30585579 954 8.998787 22.991713 119681
pos10_on 14_pos10_on 35.52630061 -10.33837343 998 8.998763 22.991755 124025
pos11_on 14_pos10_on -31.39710017 19.57605939 998 8.998763 22.991755 124025
pos12_on 14_pos10_on 28.73738133 -23.30585579 998 8.998763 22.991755 124025
pos10_on 15_pos10_on 35.52630061 -10.33837343 1085 8.998790 22.991707 135559
pos11_on 15_pos10_on -31.39710017 19.57605939 1085 8.998790 22.991707 135559
pos12_on 15_pos10_on 28.73738133 -23.30585579 1085 8.998790 22.991707 135559
pos10_on 16_pos10_on 35.52630061 -10.33837343 1108 8.999072 22.991114 139135
pos11_on 16_pos10_on -31.39710017 19.57605939 1108 8.999072 22.991114 139135
pos12_on 16_pos10_on 28.73738133 -23.30585579 1108 8.999072 22.991114 139135
pos10_on 17_pos10_on 35.52630061 -10.33837343 1194 8.999204 22.990883 150343
pos11_on 17_pos10_on -31.39710017 19.57605939 1194 8.999204 22.990883 150343
pos12_on 17_pos10_on 28.73738133 -23.30585579 1194 8.999204 22.990883 150343
pos10_on 18_pos10_on 35.52630061 -10.33837343 1286 8.998800 22.991690 161898
pos11_on 18_pos10_on -31.39710017 19.57605939 1286 8.998800 22.991690 161898
