EventID FileName TrueX Truey TotalPE EstimateX EstimateY EstimateLY
EventID FileName TrueX Truey TotalPE EstimateX EstimateY EstimateLY
EventID FileName TrueX Truey TotalPE EstimateX EstimateY EstimateLY
pos10_on 1_pos10_on 35.52630061 -10.33837343 57 -12.992681 37.000000 2504
pos11_on 1_pos10_on -31.39710017 19.57605939 57 -12.992681 37.000000 2504
pos12_on 1_pos10_on 28.73738133 -23.30585579 57 -12.992681 37.000000 2504
pos10_on 2_pos10_on 35.52630061 -10.33837343 138 -2.997107 22.991686 15856
pos11_on 2_pos10_on -31.39710017 19.57605939 138 -2.997107 22.991686 15856
pos12_on 2_pos10_on 28.73738133 -23.30585579 138 -2.997107 22.991686 15856
pos10_on 3_pos10_on 35.52630061 -10.33837343 171 2.000876 21.000025 20038
pos11_on 3_pos10_on -31.39710017 19.57605939 171 2.000876 21.000025 20038
pos12_on 3_pos10_on 28.73738133 -23.30585579 171 2.000876 21.000025 20038
pos10_on 4_pos10_on 35.52630061 -10.33837343 265 8.998777 19.965561 29996
pos11_on 4_pos10_on -31.39710017 19.57605939 265 8.998777 19.965561 29996
pos12_on 4_pos10_on 28.73738133 -23.30585579 265 8.998777 19.965561 29996
pos10_on 5_pos10_on 35.52630061 -10.33837343 310 2.001641 20.999998 35601
pos11_on 5_pos10_on -31.39710017 19.57605939 310 2.001641 20.999998 35601
pos12_on 5_pos10_on 28.73738133 -23.30585579 310 2.001641 20.999998 35601
pos10_on 6_pos10_on 35.52630061 -10.33837343 385 2.001404 16.984400 46538
pos11_on 6_pos10_on -31.39710017 19.57605939 385 2.001404 16.984400 46538
pos12_on 6_pos10_on 28.73738133 -23.30585579 385 2.001404 16.984400 46538
pos10_on 7_pos10_on 35.52630061 -10.33837343 446 8.998901 19.962925 51370
pos11_on 7_pos10_on -31.39710017 19.57605939 446 8.998901 19.962925 51370
pos12_on 7_pos10_on 28.73738133 -23.30585579 446 8.998901 19.962925 51370
pos10_on 8_pos10_on 35.52630061 -10.33837343 521 8.998802 19.965063 59894
pos11_on 8_pos10_on -31.39710017 19.57605939 521 8.998802 19.965063 59894
pos12_on 8_pos10_on 28.73738133 -23.30585579 521 8.998802 19.965063 59894
pos10_on 9_pos10_on 35.52630061 -10.33837343 613 6.995450 21.000025 68750
pos11_on 9_pos10_on -31.39710017 19.57605939 613 6.995450 21.000025 68750
pos12_on 9_pos10_on 28.73738133 -23.30585579 613 6.995450 21.000025 68750
pos10_on 10_pos10_on 35.52630061 -10.33837343 703 3.999747 18.993849 81957
pos11_on 10_pos10_on -31.39710017 19.57605939 703 3.999747 18.993849 81957
pos12_on 10_pos10_on 28.73738133 -23.30585579 703 3.999747 18.993849 81957
pos10_on 11_pos10_on 35.52630061 -10.33837343 783 3.999727 18.993769 91607
pos11_on 11_pos10_on -31.39710017 19.57605939 783 3.999727 18.993769 91607
pos12_on 11_pos10_on 28.73738133 -23.30585579 783 3.999727 18.993769 91607
pos10_on 12_pos10_on 35.52630061 -10.33837343 867 3.999664 18.993479 100886
