pixelID x y
1 0 0
2 1.0 0
3 2.0 0
4 3.0 0
5 4.0 0
6 5.0 0
7 6.0 0
8 7.0 0
9 8.0 0
10 9.0 0
11 10.0 0
12 11.0 0
13 12.0 0
14 13.0 0
15 14.0 0
16 15.0 0
17 16.0 0
18 17.0 0
19 18.0 0
20 19.0 0
21 20.0 0
22 21.0 0
23 22.0 0
24 23.0 0
25 24.0 0
26 25.0 0
27 26.0 0
28 27.0 0
29 28.0 0
30 29.0 0
31 30.0 0
32 31.0 0
33 32.0 0
34 33.0 0
35 34.0 0
36 35.0 0
37 36.0 0
38 37.0 0
39 38.0 0
40 39.0 0
41 40.0 0
42 41.0 0
43 42.0 0
44 43.0 0
45 44.0 0
46 45.0 0
47 46.0 0
48 47.0 0
49 48.0 0
50 49.0 0
51 50.0 0
52 -1.0 0
53 -2.0 0
54 -3.0 0
55 -4.0 0
56 -5.0 0
57 -6.0 0
58 -7.0 0
59 -8.0 0
60 -9.0 0
61 -10.0 0
62 -11.0 0
63 -12.0 0
64 -13.0 0
65 -14.0 0
66 -15.0 0
67 -16.0 0
68 -17.0 0
69 -18.0 0
70 -19.0 0
71 -20.0 0
72 -21.0 0
73 -22.0 0
74 -23.0 0
75 -24.0 0
76 -25.0 0
77 -26.0 0
78 -27.0 0
79 -28.0 0
80 -29.0 0
81 -30.0 0
82 -31.0 0
83 -32.0 0
84 -33.0 0
85 -34.0 0
86 -35.0 0
87 -36.0 0
88 -37.0 0
89 -38.0 0
90 -39.0 0
91 -40.0 0
92 -41.0 0
93 -42.0 0
94 -43.0 0
95 -44.0 0
96 -45.0 0
97 -46.0 0
98 -47.0 0
99 -48.0 0
100 -49.0 0
101 -50.0 0
102 0 1.0
103 1.0 1.0
104 2.0 1.0
105 3.0 1.0
106 4.0 1.0
107 5.0 1.0
108 6.0 1.0
109 7.0 1.0
110 8.0 1.0
111 9.0 1.0
112 10.0 1.0
113 11.0 1.0
114 12.0 1.0
115 13.0 1.0
116 14.0 1.0
117 15.0 1.0
118 16.0 1.0
119 17.0 1.0
120 18.0 1.0
121 19.0 1.0
122 20.0 1.0
123 21.0 1.0
124 22.0 1.0
125 23.0 1.0
126 24.0 1.0
127 25.0 1.0
128 26.0 1.0
129 27.0 1.0
130 28.0 1.0
131 29.0 1.0
132 30.0 1.0
133 31.0 1.0
134 32.0 1.0
135 33.0 1.0
136 34.0 1.0
137 35.0 1.0
138 36.0 1.0
139 37.0 1.0
140 38.0 1.0
141 39.0 1.0
142 40.0 1.0
143 41.0 1.0
144 42.0 1.0
145 43.0 1.0
146 44.0 1.0
147 45.0 1.0
148 46.0 1.0
149 47.0 1.0
150 48.0 1.0
151 49.0 1.0
152 50.0 1.0
153 -1.0 1.0
154 -2.0 1.0
155 -3.0 1.0
156 -4.0 1.0
157 -5.0 1.0
158 -6.0 1.0
159 -7.0 1.0
160 -8.0 1.0
161 -9.0 1.0
162 -10.0 1.0
163 -11.0 1.0
164 -12.0 1.0
165 -13.0 1.0
166 -14.0 1.0
167 -15.0 1.0
168 -16.0 1.0
169 -17.0 1.0
170 -18.0 1.0
171 -19.0 1.0
172 -20.0 1.0
173 -21.0 1.0
174 -22.0 1.0
175 -23.0 1.0
176 -24.0 1.0
177 -25.0 1.0
178 -26.0 1.0
179 -27.0 1.0
180 -28.0 1.0
181 -29.0 1.0
182 -30.0 1.0
183 -31.0 1.0
184 -32.0 1.0
185 -33.0 1.0
186 -34.0 1.0
187 -35.0 1.0
188 -36.0 1.0
189 -37.0 1.0
190 -38.0 1.0
191 -39.0 1.0
192 -40.0 1.0
193 -41.0 1.0
194 -42.0 1.0
195 -43.0 1.0
196 -44.0 1.0
197 -45.0 1.0
198 -46.0 1.0
199 -47.0 1.0
200 -48.0 1.0
201 -49.0 1.0
202 -50.0 1.0
203 0 2.0
204 1.0 2.0
205 2.0 2.0
206 3.0 2.0
207 4.0 2.0
208 5.0 2.0
209 6.0 2.0
210 7.0 2.0
211 8.0 2.0
212 9.0 2.0
213 10.0 2.0
214 11.0 2.0
215 12.0 2.0
216 13.0 2.0
217 14.0 2.0
218 15.0 2.0
219 16.0 2.0
220 17.0 2.0
221 18.0 2.0
222 19.0 2.0
223 20.0 2.0
224 21.0 2.0
225 22.0 2.0
226 23.0 2.0
227 24.0 2.0
228 25.0 2.0
229 26.0 2.0
230 27.0 2.0
231 28.0 2.0
232 29.0 2.0
233 30.0 2.0
234 31.0 2.0
235 32.0 2.0
236 33.0 2.0
237 34.0 2.0
238 35.0 2.0
239 36.0 2.0
240 37.0 2.0
241 38.0 2.0
242 39.0 2.0
243 40.0 2.0
244 41.0 2.0
245 42.0 2.0
246 43.0 2.0
247 44.0 2.0
248 45.0 2.0
249 46.0 2.0
250 47.0 2.0
251 48.0 2.0
252 49.0 2.0
253 50.0 2.0
254 -1.0 2.0
255 -2.0 2.0
256 -3.0 2.0
257 -4.0 2.0
258 -5.0 2.0
259 -6.0 2.0
260 -7.0 2.0
261 -8.0 2.0
262 -9.0 2.0
263 -10.0 2.0
264 -11.0 2.0
265 -12.0 2.0
266 -13.0 2.0
267 -14.0 2.0
268 -15.0 2.0
269 -16.0 2.0
270 -17.0 2.0
271 -18.0 2.0
272 -19.0 2.0
273 -20.0 2.0
274 -21.0 2.0
275 -22.0 2.0
276 -23.0 2.0
277 -24.0 2.0
278 -25.0 2.0
279 -26.0 2.0
280 -27.0 2.0
281 -28.0 2.0
282 -29.0 2.0
283 -30.0 2.0
284 -31.0 2.0
285 -32.0 2.0
286 -33.0 2.0
287 -34.0 2.0
288 -35.0 2.0
289 -36.0 2.0
290 -37.0 2.0
291 -38.0 2.0
292 -39.0 2.0
293 -40.0 2.0
294 -41.0 2.0
295 -42.0 2.0
296 -43.0 2.0
297 -44.0 2.0
298 -45.0 2.0
299 -46.0 2.0
300 -47.0 2.0
301 -48.0 2.0
302 -49.0 2.0
303 -50.0 2.0
304 0 3.0
305 1.0 3.0
306 2.0 3.0
307 3.0 3.0
308 4.0 3.0
309 5.0 3.0
310 6.0 3.0
311 7.0 3.0
312 8.0 3.0
313 9.0 3.0
314 10.0 3.0
315 11.0 3.0
316 12.0 3.0
317 13.0 3.0
318 14.0 3.0
319 15.0 3.0
320 16.0 3.0
321 17.0 3.0
322 18.0 3.0
323 19.0 3.0
324 20.0 3.0
325 21.0 3.0
326 22.0 3.0
327 23.0 3.0
328 24.0 3.0
329 25.0 3.0
330 26.0 3.0
331 27.0 3.0
332 28.0 3.0
333 29.0 3.0
334 30.0 3.0
335 31.0 3.0
336 32.0 3.0
